Nom,Longitude,Latitude
Centre Hospitalier de Bourbonne les Bains,5.735280,47.946293
Centre Hospitalier Intercommunal Corte Tattone,9.154329,42.301868
Hôpital de Houdan,1.599125,48.793545
Centre hospitalier de Wattrelos,3.222527,50.700085
Hôpital de Jour Henri Ey,3.074877,45.779091
L'Hort des Melleyrines,3.994969,44.937275
Clinique Paul Picquet,3.294647,48.207119
Groupe Hospitalier Les cheminots,2.407460,48.654739
Hôpital Local de Saint-Félicien,4.629398,45.086487
Centre médico-psychologique de Céret,2.752191,42.486755
Hôpital Joseph Ducuing,1.429276,43.596264
Centre Hospitalier - Site de Saint-Pée,-0.631420,43.187572
Maison de Santé Porte de Lyon,4.760169,45.821495
SSR Val Rosay,4.812004,45.796783
Centre Hospitalier de l'Aigle,0.611800,48.767361
Centre hospitalier Ferdinand Grall,-4.234899,48.447815
Unité Paul de Magallon - Fondation St Jean de Dieu,-2.058020,48.447460
Hôpitaux Paris Est Val-de-Marne - Site Saint-Maurice,2.428344,48.820637
Centre Hospitalier de La Châtre,1.983722,46.569359
HAD Estuaire,0.386764,49.744545
Centre hospitalier de Marennes,-1.098105,45.821396
Hôpital Croix Saint-Simon,2.408537,48.853901
Centre Hospitalier Saint-Roch,1.420527,46.891918
Hôpital Pierre Grouès,6.649539,44.387779
Clinique du Trocadéro,2.280961,48.860401
Hôpital Psychiatrique EPSAN à Cronenbourg,7.714983,48.604565
Espace Perréal,3.231829,43.345749
Centre Hospitalier de Château du Loir,0.419914,47.690723
Clinique Esquirol Saint-Hilaire,0.629080,44.185913
Centre hospitalier de Dieppe,1.078655,49.918640
Site de l'ancien Centre hospitalier de Voiron,5.594771,45.368664
Centre hospitalier Portes de Provence à Montélimar,4.784374,44.569260
Groupe thérapeutique Marie Duboccage,1.087357,49.428654
Hôpital Saint-Éloi,3.865125,43.629147
Centre de Santé Sexuelle,5.817502,46.110836
Hôpital du Gier,4.619349,45.526482
Hôpital La Roche-Guyon,1.625830,49.079632
Restif de la Bretonne,3.295604,48.203922
Centre Hospitalier Saint-Louis,-0.758206,47.408833
Centre de Radiologie Docteur P. Humbert,1.093245,43.208096
Hôpital de jour Elise Saunier,2.998026,43.179741
Clinique du Vivarais,4.390548,44.611664
Clinique Pasteur,1.160760,49.028526
Clinique du Parc,4.293819,46.950668
Hôpital privé Claude Galien,2.539495,48.681652
Hôpital de Jour,2.539074,48.818913
Unité de soins intensifs pour adolescents,5.361433,43.378613
Hôpital Asselin-Hédelin,0.743950,49.619553
Centre hospitalier Chamonix Mont Blanc,6.862413,45.914013
Centre Hospitalier Spécialisé La Grange Joada,3.033717,47.170887
Centre Hospitalier de Noyon,2.999912,49.587887
Hôpital local de Munster,7.131751,48.043575
Pôle santé CHS Montfavet,5.028451,44.047352
Centre hospitalier de Courbevoie - Neuilly-sur-Seine,2.253447,48.900616
Clinique Saint Maurice,1.469917,46.000530
Centre Hospitalier Saint-Nicolas,4.714250,48.231205
Clinique de rééducation fonctionnelle Fontfroide,3.831433,43.639530
Maison de Santé Rurale,-0.036140,44.585991
Hôpital Goüin,2.311368,48.902119
Centre hospitalier métropole Savoie,5.910930,45.564426
Clinique du Grand Stade,2.366569,48.925827
Infirmerie Protestante,4.835517,45.786591
Centre hospitalier de Penthièvre CH2P,-2.520832,48.469612
Hôpital Thierry de Langeraye,-1.174718,47.741238
Institut Nazareth,3.880244,43.625172
Maison des Adolescents Vetraz Monthoux,6.248401,46.181084
Clinique de Rochebrune,2.198629,48.852493
Centre de Rééducation Fonctionnelle,2.690576,46.098236
Centre Jean Vignalou,-0.344434,43.325825
Clinique de la Croix Blanche,2.171906,45.939568
Clinique Jeanne d'arc,6.503355,48.589104
Centre de Santé Médical,2.850085,50.490559
Groupe hospitalier Sud Ardennes - Site de Vouziers,4.701516,49.394428
Hôpital Saint-Julien,6.193304,48.686996
SAMU,3.122502,46.981209
Centre hospitalier Fanny Ramadier,3.279160,44.808159
Clinique de réadaptation « Midi-Gascogne »,1.010585,43.875530
Hôpital Inconnu,6.025499,47.246544
Clinique des Cèdres,5.723381,45.147694
Centre hospitalier Hôtel Dieu,5.780422,49.537750
Centre Hospitalier de Montrichard,1.180070,47.348160
Hôpital d'Enfants de Margency,2.292905,49.002918
Hôpital Flaubert - santé mentale adultes,0.112834,49.498600
Hopital de jour à Montfort-en-Chalosse,-0.839906,43.710087
Batiment H,-1.352255,48.693035
Clinique Ambroise Paré,1.413587,43.589882
Hôpital Inconnu,3.856987,43.958832
Centre Mutualiste Neurologique Propara,3.831969,43.642899
Centre hospitalier intercommunal de Poissy,2.022805,48.918766
Hôpital de Jœuf,6.011265,49.225357
Centre hospitalier Alphonse Guérin,-2.394478,47.935123
Clinique Villa Marie-Louise,2.253380,48.907181
Hôpital Inconnu,1.734642,43.411640
Polyclinique du Plateau,2.203933,48.933678
Hôpital Saint-Antoine,-0.208113,44.433296
I.M.B.S (Imagerie Médicale des Boucles de la Seine),1.040629,49.304134
Centre hospitalier de Dourdan,1.999535,48.533794
Hôpital Henry Gabrielle,4.790792,45.690159
Centre hospitalier de Bourbon l'Archambault,3.046489,46.579403
Clinique SSR Supervaltech,2.846879,42.727467
Clinique Saint-André,6.158298,48.661194
Village Santé,-0.513278,47.456192
La Maisonnée,4.772280,45.740543
Hôpital René Huguenin - Institut Curie,2.218152,48.844872
Clinique de Chaumont,5.141122,48.119488
Centre médical et pédagogique de Rennes Beaulieu,-1.637907,48.123569
Centre Hospitalier de Carentan,-1.244604,49.307095
"Etablissement de médecine,2.159390,48.950874
Clinique Générale,6.126643,45.895988
Centre Hospitalier Local Les 3 Rivières,6.392425,48.315006
Centre Hospitalier des Murets,2.580272,48.787830
Centre hospitalier Saint-Maixent,-0.220828,46.410324
Pôle de Santé de Meaux,2.869349,48.958160
Centre hospitalier d'Amboise,0.981195,47.407913
Centre hospitalier de l'Isle-sur-la-Sorgue,5.048508,43.920628
Clinique Jeanne d'Arc,0.292194,47.188354
Centre hospitalier de Bagnères-de-Bigorre,0.145378,43.066448
Centre Hospitalier Paul Guiraud,2.357781,48.790119
Centre Hospitalier de l'Ouest Vosgien - Site de Vittel,5.947694,48.206532
Centre hospitalier Sainte-Marie,7.282445,43.731663
Clinique Saint-Michel,2.416948,42.616928
Hôpital Foch,2.222262,48.870811
Clinique du Soffle La Solane,1.980829,42.419449
Hôpital Inconnu,7.684374,48.430058
Hôpital Saint-Maurice,6.045590,49.250721
Clinique Saint-Charles,4.827414,45.769943
Hôpital de jour Pradier,0.212078,47.967014
Centre hospitalier de Villefranche-de-Rouergue - Site de Ruhle,2.029365,44.383884
Centre hospitalier de Saintonge,-0.655598,45.746231
Hôpital de Château Salins,6.506804,48.825436
Pôle santé de Kerlic,-4.073542,48.016850
Clinique Internationale du Parc Monceau,2.304237,48.880016
Centre hospitalier intercommunal Lombez - Samatan,0.910667,43.475910
Centre hospitalier d’Auxerre,3.556346,47.804359
Hôpital Saint-Nicolas,5.382379,49.154995
Centre hospitalier de Langon,-0.245177,44.544670
Hôpital Pasteur,7.337299,48.075291
Centre hospitalier de Lannion,-3.464378,48.721962
Cap vers,2.126224,48.832722
Hôpital Lucien Bonnafé,3.199399,50.682007
Centre Hospitalier Spécialisé de l’Yonne - Unité Henri EY,3.294232,48.197670
Hôpital du Porzou,-3.904553,47.865452
Hôpital Inconnu,2.029650,47.915352
Hôpital de la Fraternité,3.197738,50.682240
Hôpital de jour pour adultes,1.017170,49.288208
Hôpital André Mignot,2.125627,48.831337
Hôpital de Ribeauville,7.315960,48.197113
Polyclinique La Phocéanne,5.473942,43.305347
Centre Monsignery,7.112585,43.606617
Clinique Jean Causse,3.146204,43.313683
Loratzea,-1.455524,43.477036
Centre de Réadaptation Cardiologique et Pneumologique de Franche-Comté,5.908759,46.882233
Centre hospitalier du Beaujolais Vert,4.317999,46.097736
Hôpital de jour Brossolette,2.989367,43.182186
Hôpital privé les Franciscaines,4.374407,43.847672
Clinique psychatrique Marigny,1.477566,43.695393
Centre Hospitalier du Nord-Mayenne,-0.604969,48.305058
Centre de soins de suite et de réadaptation,1.705471,46.792637
Clinique du Bois d'Amour,2.460219,48.913227
Hôpital Inconnu,2.921958,49.937641
Hôtel-Dieu,-4.221176,47.863426
Clinique du Plateau,2.261712,48.790466
Clinique psychiatrique,0.742374,49.620758
clinique du Campus,2.275865,49.867912
Hôpital Inconnu,3.299010,47.739853
Hôpital,1.483240,45.841812
Hôpital Privé du Grand Narbonne,2.906672,43.187256
Hôpital Gui de Chauliac,3.862730,43.630322
Maternité,2.496334,46.726059
Hôpital Belle-Ile en Mer,-3.161305,47.345161
Centre hospitalier du Grand Large,0.706194,49.867130
Hôpital San Salvadour,6.113301,43.085266
Centre médico-psychologique La Canetoise,3.029782,42.696129
Hôpital Hôtel-Dieu Saint-Jacques,1.436586,43.599766
Foyer du Comtal,0.863717,43.226032
Centre Hospitalier Neufchâtel-en-Bray,1.451896,49.730549
Centre hospitalier d'Hauteville - Unité Inter,5.611713,45.974934
Médecin-Infirmiers,6.534810,43.590363
Hôpital Louis Mourier,2.236136,48.924946
Centre psychothérapeutique,3.267279,48.995274
Clinique Joncs Marins,2.508198,48.852692
Centre de Soins Psychothérapie Adultes,1.752039,45.952766
Hôpital Inconnu,6.210882,49.114059
Clinique de Vontes,0.801007,47.278023
Clinique des Pyrénées,1.338670,43.598087
Polyclinique Côte Basque Sud,-1.639594,43.397068
Centre Hospitalier du Penthièvre & du Poudouvre,-2.915021,48.407700
Hôpital Paul Coste-Floret,3.080606,43.592766
Hôpital Pontchaillou,-1.695125,48.120827
Unité de Soin de Longue Durée Les Campeaux,0.949902,49.524223
Centre hospitalier intercommunal de Créteil,2.465518,48.796619
Centre hospitalier intercommunal de Cavaillon-Lauris,5.037236,43.840149
Clinique mutualiste Arnaud Duben,-0.610372,44.806580
Centre hospitalier de Vendôme-Montoire,1.062993,47.793995
Hôpital Inconnu,-3.996650,48.682934
Clinique Blomet,2.295736,48.839645
MGEN Etablissement de Santé,5.788243,46.007038
Centre hospitalier privé du Montgardé,1.846769,48.956020
Hôpital Inconnu,0.483276,47.196693
Centre de rééducation respiratoire Folcheran,4.078018,44.416431
Hôpital Inconnu,0.999224,43.106331
USLD Au Fil de l'Eau,3.018387,50.548729
Centre hospitalier de Crest,5.006867,44.727798
Pavillon Louis Lareng,1.399856,43.613239
Centre hospitalier de Narbonne,3.000109,43.180981
Clinique Vauban,2.523077,48.918468
Centre hospitalier de Boulogne-sur-Mer,1.629739,50.722580
Hôpital Jeanne de Flandre,3.032907,50.605640
Hopital Georges Decroze,2.607511,49.294975
Hôpital de Thizy,4.312775,46.029243
Halle Saint-Vincent-de-Paul,3.077799,50.621983
Centre hospitalier Manchester,4.698191,49.762157
Hôpital du Vallon,5.036810,43.421040
Centre psychiatrique de la Cellette,2.513360,45.640621
Hôpital Privé Sainte-Marie,4.856374,46.797863
"Hôpital de Réadaptation,4.118386,43.549847
